x, y, th, stamp, 
-0.034717824310064316, -1.9577674865722656, 2.3056817583396563, 1759498922046345912, 
-0.03780260682106018, -1.9540578126907349, 2.3119678764196685, 1759498922096198372, 
-0.0409095324575901, -1.9510544538497925, 2.316116365379719, 1759498922140176877, 
-0.04378052055835724, -1.9476773738861084, 2.3215460517595794, 1759498922186179932, 
-0.04735957086086273, -1.9438871145248413, 2.3261775872322623, 1759498922236339471, 
-0.05058697611093521, -1.9406816959381104, 2.3305923463368017, 1759498922286382495, 
-0.05382369086146355, -1.9372364282608032, 2.3352336282478894, 1759498922336500886, 
-0.05720074102282524, -1.9338772296905518, 2.3387942325338775, 1759498922382032583, 
-0.061682894825935364, -1.929291009902954, 2.3436028055004576, 1759498922446180664, 
-0.0649576187133789, -1.926049828529358, 2.349996787201238, 1759498922497454464, 
-0.06787078827619553, -1.9232125282287598, 2.3564538126296983, 1759498922542430757, 
-0.07074176520109177, -1.9201151132583618, 2.3610821140649247, 1759498922586340869, 
-0.07423423230648041, -1.9170182943344116, 2.3655737826653747, 1759498922636507500, 
-0.07763445377349854, -1.9138092994689941, 2.3696193360838507, 1759498922686010326, 
-0.08171465247869492, -1.9097845554351807, 2.3754096364800272, 1759498922745886622, 
-0.08545619994401932, -1.906368613243103, 2.3801801493874497, 1759498922796205088, 
-0.0890427678823471, -1.90273916721344, 2.384745124307939, 1759498922846272136, 
-0.09238992631435394, -1.8996011018753052, 2.3889327448335913, 1759498922893317612, 
-0.09587062895298004, -1.8963773250579834, 2.3928523725758426, 1759498922943500132, 
-0.09892532974481583, -1.8935655355453491, 2.3963606629578136, 1759498922986591229, 
-0.10273505747318268, -1.8903586864471436, 2.400793264416774, 1759498923036189725, 
-0.10614235699176788, -1.8872301578521729, 2.4055319818712486, 1759498923086411385, 
-0.11053832620382309, -1.8838286399841309, 2.410693627353736, 1759498923146508490, 
-0.1142994835972786, -1.8805007934570312, 2.413213018556541, 1759498923196336103, 
-0.11798130720853806, -1.8773123025894165, 2.419071398582235, 1759498923246187971, 
-0.12128756195306778, -1.8742754459381104, 2.423937342812243, 1759498923294213419, 
-0.12495841085910797, -1.8712685108184814, 2.4275097904043053, 1759498923344136292, 
-0.12814323604106903, -1.8684533834457397, 2.4313487648456307, 1759498923386189559, 
-0.13192729651927948, -1.8654857873916626, 2.4356492423671794, 1759498923436211219, 
-0.13562266528606415, -1.862199306488037, 2.4404886514377155, 1759498923488305918, 
-0.13914689421653748, -1.859697699546814, 2.44388595476809, 1759498923535360692, 
-0.1436174064874649, -1.855777382850647, 2.448776229440823, 1759498923598289965, 
-0.1476382613182068, -1.852841854095459, 2.4519953538416286, 1759498923648276988, 
-0.15111014246940613, -1.849845290184021, 2.456475271279568, 1759498923695184387, 
-0.1550845205783844, -1.8468502759933472, 2.4604213611320054, 1759498923746140040, 
-0.158220112323761, -1.844438910484314, 2.4647725819728525, 1759498923786183244, 
-0.1619509905576706, -1.8413633108139038, 2.468693700751128, 1759498923836237937, 
-0.16582445800304413, -1.838505506515503, 2.473754444233956, 1759498923885887627, 
-0.16987945139408112, -1.8351805210113525, 2.4785981635855934, 1759498923936303253, 
-0.17449359595775604, -1.8316320180892944, 2.482312337214184, 1759498923997085087, 
-0.1781894713640213, -1.8292579650878906, 2.486051992530492, 1759498924046195532, 
-0.18185491859912872, -1.8262861967086792, 2.4911415280648335, 1759498924096270753, 
-0.18610425293445587, -1.8235676288604736, 2.494251478987263, 1759498924146232726, 
-0.18914449214935303, -1.8210327625274658, 2.4983217384896053, 1759498924186607208, 
-0.19327573478221893, -1.8179583549499512, 2.5039586721813736, 1759498924237239175, 
-0.19888615608215332, -1.8137602806091309, 2.510459874115789, 1759498924305951844, 
-0.20177781581878662, -1.811743140220642, 2.5116566980179376, 1759498924346036017, 
-0.20576204359531403, -1.80915367603302, 2.513296067546124, 1759498924397727004, 
-0.2095976620912552, -1.8061950206756592, 2.5192605738812364, 1759498924446295409, 
-0.21369370818138123, -1.8036025762557983, 2.5210800403779774, 1759498924496197371, 
-0.21764881908893585, -1.8006738424301147, 2.527387915534143, 1759498924546138178, 
-0.22086212038993835, -1.798213005065918, 2.5303136896704355, 1759498924586186019, 
-0.22508665919303894, -1.7954120635986328, 2.5336037212949494, 1759498924638343164, 
-0.22886082530021667, -1.7926442623138428, 2.53813019693716, 1759498924686111039, 
-0.23296485841274261, -1.7899820804595947, 2.542027453333246, 1759498924736305627, 
-0.2377452254295349, -1.786805510520935, 2.547573764090012, 1759498924796283583, 
-0.24182312190532684, -1.784013271331787, 2.551707776371877, 1759498924846198292, 
-0.24598988890647888, -1.781490683555603, 2.5530125883139445, 1759498924896225193, 
-0.2500803768634796, -1.7783887386322021, 2.5585270166052836, 1759498924946143447, 
-0.25310298800468445, -1.7766132354736328, 2.562129950741696, 1759498924986212852, 
-0.2570452094078064, -1.7741420269012451, 2.5663733403289584, 1759498925036276241, 
-0.2628970146179199, -1.7703375816345215, 2.571762392630803, 1759498925107188354, 
-0.2660099267959595, -1.76847505569458, 2.5744895495895532, 1759498925147172958, 
